Id,Scenario,Type,Source,Severity,v_c,a_1,a_2,tau_s,tau_1,tau_2,weight
1,Rear-end,Crash,SHRP2,Non-severe,0,-1.693,-0.176,1.111,1.903,1.986,0.854212454
2,Rear-end,Crash,CISS,Severe,0,-8.913,-0.458,1.308,2.181,1.511,0.296396176
3,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
4,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
5,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
6,Rear-end,Crash,CISS,Severe,1.863,-4.09,-4.09,0,5,0,0.057460639
7,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
8,Rear-end,Crash,SHRP2,Non-severe,5.169,-4.568,-0.146,0,3.147,1.853,0.569474969
9,Rear-end,Crash,CISS,Severe,0,-4.705,-2.569,1.228,2.069,1.703,0.141811804
10,Rear-end,Crash,CISS,Severe,0,-7.554,0.199,0.068,3.447,1.486,0.313330968
11,Rear-end,Crash,SHRP2,Severe,1.97,-1.182,-4.814,0,2.641,2.359,0.139814064
12,Rear-end,Crash,SHRP2,Non-severe,0,-2.693,-2.693,0,5,0,1.708424908
13,Rear-end,Crash,SHRP2,Severe,7.912,1.144,1.144,0,5,0,0.279628128
14,Rear-end,Crash,CISS,Severe,10.486,-1.553,-0.388,0,2.434,2.566,0.152862892
15,Rear-end,Crash,SHRP2,Severe,0,-1.289,0.123,0.31,1.829,1.409,0.139814064
16,Rear-end,Crash,SHRP2,Non-severe,0,-0.552,-0.552,0.187,4.813,0,1.708424908
17,Rear-end,Crash,SHRP2,Non-severe,4.47,-1.517,-1.517,0,5,0,0.854212454
18,Rear-end,Crash,SHRP2,Non-severe,0.277,-1.607,2.778,1.08,1.849,0.323,1.708424908
19,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
20,Rear-end,Crash,SHRP2,Non-severe,14.004,-1.289,-6.721,0,1.496,2.117936914,0.854212454
21,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
22,Rear-end,Crash,SHRP2,Non-severe,0,-1.731,-1.731,0.829,4.171,0,1.708424908
23,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
24,Rear-end,Crash,SHRP2,Severe,0,-1.607,-1.607,3.023,1.977,0,0.279628128
25,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
26,Rear-end,Crash,SHRP2,Non-severe,0,-0.192,0.895,0.65,2.59,0.556,1.708424908
27,Rear-end,Crash,SHRP2,Non-severe,0.946,-1.959,0.386,0,3.586,1.414,1.708424908
28,Rear-end,Crash,SHRP2,Non-severe,0,-3.472,1.227,2.202,0.685,1.034,1.708424908
29,Rear-end,Crash,CISS,Severe,4.748,-1.746,-1.746,2.976,2.024,0,0.873071021
30,Rear-end,Crash,CISS,Severe,0,0,0,5,0,0,0.147782597
31,Rear-end,Crash,CISS,Severe,2.459,0.472,-0.506,0,1.663,3.337,0.043422157
32,Rear-end,Crash,SHRP2,Non-severe,0,-1.952,-0.129,1.598,2.534,0.868,1.708424908
33,Rear-end,Crash,CISS,Severe,6.94,2.327,-0.504,0,2.923,2.077,0.045598565
34,Rear-end,Crash,CISS,Severe,25.847,-0.129,-0.129,0,5,0,0.103727698
35,Rear-end,Crash,CISS,Severe,0.456,-1.175,-2.607,0,2.552,2.448,0.0917046
36,Rear-end,Crash,SHRP2,Severe,4.876,-1.281,-0.208,0,3.048,1.952,0.279628128
37,Rear-end,Crash,CISS,Severe,4.336,-5.864,0.343,0,1.986,3.014,0.130279633
38,Rear-end,Crash,SHRP2,Non-severe,0,0,0,5,0,0,1.708424908
39,Rear-end,Crash,SHRP2,Severe,0,-5.224,-0.46,0.899,1.661,2.44,0.093209376
40,Rear-end,Crash,SHRP2,Severe,1.388,-2.354,-2.354,1.074,3.926,0,0.279628128
41,Rear-end,Crash,SHRP2,Severe,2.917,-2.842,-4.9,0,3.321,1.679,0.279628128
42,Rear-end,Crash,CISS,Severe,0,-2.56,-2.56,0.128,4.872,0,0.47173511
43,Rear-end,Crash,SHRP2,Non-severe,0,-0.922,-5.349,1.526,2.353,1.121,0.854212454
44,Rear-end,Crash,SHRP2,Severe,0,-4.927,0.232,0.514,2.278,2.208,0.139814064
