id,v_f_init,d_init,v_l_init,a_1,a_2,tau_s,tau_1,tau_2
0,2.26,10.98,0,0,0,5,0,0
1,1.26,5.95,0,0,0,5,0,0
2,0,2.15,0,0,0,5,0,0
3,3.81,20.61,0,0,0,5,0,0
4,0,1.49,0,0,0,5,0,0
5,0,1.08,0,0,0,5,0,0
6,2.48,11.45,0,0,0,5,0,0
7,1.56,7.29,0,0,0,5,0,0
8,11.75,59.15,0,0,0,5,0,0
9,0,1.75,0,0,0,5,0,0
10,1.29,5.78,0,0,0,5,0,0
11,0,1.27,0,0,0,5,0,0
12,2.54,12.33,0,0,0,5,0,0
13,0,2.2,0,0,0,5,0,0
14,0,0.96,0,0,0,5,0,0
15,0,1.51,0,0,0,5,0,0
16,4.4,20.43,0,0,0,5,0,0
17,0,1.33,0,0,0,5,0,0
18,0,1.32,0,0,0,5,0,0
19,4.83,24.8,0,0,0,5,0,0
20,2.43,12.06,0,0,0,5,0,0
21,0,0.97,0,0,0,5,0,0
22,0,4.52,0,0,0,5,0,0
23,0,1.51,0,0,0,5,0,0
24,0,1.44,0,0,0,5,0,0
25,0,2.66,0,0,0,5,0,0
26,0.51,2.11,0,0,0,5,0,0
27,3.26,16.79,0,0,0,5,0,0
28,0,6.46,0,0,0,5,0,0
29,0,3.55,0,0,0,5,0,0
30,5.86,27.76,0,0,0,5,0,0
31,0,1.15,0,0,0,5,0,0
32,0,1.65,0,0,0,5,0,0
33,0,1.43,0,0,0,5,0,0
34,0,1.04,0,0,0,5,0,0
35,0,1.17,0,0,0,5,0,0
36,0,1.11,0,0,0,5,0,0
37,2.35,11.25,0,0,0,5,0,0
38,1.2,5.29,0,0,0,5,0,0
39,0,1.87,0,0,0,5,0,0
40,1.58,7.47,0,0,0,5,0,0
41,0,2.91,0,0,0,5,0,0
42,0,3.44,0,0,0,5,0,0
43,1.34,6.29,0,0,0,5,0,0
44,2,9.98,0,0,0,5,0,0
45,0,1.76,0,0,0,5,0,0
46,0,1.06,0,0,0,5,0,0
47,1.72,8.5,0,0,0,5,0,0
48,0,1.18,0,0,0,5,0,0
49,0,1.68,0,0,0,5,0,0
50,1.23,6.14,0,0,0,5,0,0
51,4.05,19.21,0,0,0,5,0,0
52,2.33,11.59,0,0,0,5,0,0
53,0,4.99,0,0,0,5,0,0
54,0,1.4,0,0,0,5,0,0
55,0,1.04,0,0,0,5,0,0
56,0,1.42,0,0,0,5,0,0
57,0,1.13,0,0,0,5,0,0
58,4.08,19.01,0,0,0,5,0,0
59,0,3.31,0,0,0,5,0,0
60,1.24,5.65,0,0,0,5,0,0
61,0,1.33,0,0,0,5,0,0
62,1.8,7.95,0,0,0,5,0,0
63,0,1.26,0,0,0,5,0,0
64,0,1.12,0,0,0,5,0,0
65,0,1.44,0,0,0,5,0,0
